Image Name,Total Green Pixels,Percent of Total
01_26_2024_16:03,446087,0.14869566666666667
01_27_2024_00:00,54867,0.018289
01_28_2024_00:00,70580,0.023526666666666668
01_29_2024_00:00,2385159,0.795053
01_30_2024_00:00,2386760,0.7955866666666667
01_31_2024_00:00,2140866,0.713622
02_01_2024_00:00,2014361,0.6714536666666666
02_02_2024_00:00,1582619,0.5275396666666666
02_03_2024_00:00,2419457,0.8064856666666667
02_04_2024_00:00,2407907,0.8026356666666666
02_05_2024_00:00,2339862,0.779954
02_06_2024_00:00,2018298,0.672766
02_07_2024_00:00,2054871,0.684957
02_08_2024_00:00,2205196,0.7350653333333333
02_09_2024_00:00,2310837,0.770279
02_10_2024_00:00,2392586,0.7975286666666667
02_11_2024_00:00,2412875,0.8042916666666666
02_12_2024_00:00,2397857,0.7992856666666667
02_13_2024_00:00,2269336,0.7564453333333333
02_14_2024_00:00,2353641,0.784547
02_15_2024_00:00,2289904,0.7633013333333334
02_16_2024_00:00,2264716,0.7549053333333333
02_17_2024_00:00,2083048,0.6943493333333334
02_18_2024_00:00,2144634,0.714878
02_19_2024_00:00,2181008,0.7270026666666667
02_20_2024_00:00,1929041,0.6430136666666667
02_21_2024_00:00,1825414,0.6084713333333334
02_22_2024_00:00,1804954,0.6016513333333333
02_23_2024_00:00,2294600,0.7648666666666667
02_24_2024_00:00,2294303,0.7647676666666666
02_25_2024_00:00,2262829,0.7542763333333333
02_26_2024_00:00,2265280,0.7550933333333333
02_27_2024_00:00,2325670,0.7752233333333334
02_28_2024_00:00,1718464,0.5728213333333333
02_29_2024_00:00,1708504,0.5695013333333333
03_01_2024_00:00,1761270,0.58709
03_02_2024_00:00,1718878,0.5729593333333334
03_03_2024_00:00,1777292,0.5924306666666667
03_04_2024_00:00,1735731,0.578577
03_05_2024_00:00,1764182,0.5880606666666667
03_06_2024_00:00,1597045,0.5323483333333333
03_20_2024_14:42,51744,0.017248
03_20_2024_15:04,114552,0.038184
03_22_2024_00:00,130550,0.04351666666666667
03_23_2024_00:00,119235,0.039745
03_24_2024_00:00,1951,0.0006503333333333334
03_25_2024_00:00,114109,0.03803633333333333
03_26_2024_00:00,132531,0.044177
03_27_2024_00:00,128155,0.04271833333333333
03_30_2024_12:12,58042,0.019347333333333334
03_30_2024_12:21,4113,0.001371
03_30_2024_13:21,654913,0.21830433333333332
03_30_2024_13:25,821401,0.2738003333333333
03_30_2024_13:30,801497,0.2671656666666667
03_30_2024_13:33,770288,0.25676266666666664
03_30_2024_13:34,839833,0.27994433333333335
03_30_2024_13:45,507908,0.16930266666666666
03_30_2024_13:49,435324,0.145108
03_30_2024_13:49,454159,0.15138633333333334
03_30_2024_13:50,456372,0.152124
03_30_2024_13:50,456372,0.152124
03_30_2024_13:50,425754,0.141918
03_30_2024_13:50,469238,0.15641266666666667
03_30_2024_13:51,538640,0.17954666666666666
03_30_2024_13:52,653752,0.21791733333333332
03_30_2024_13:53,566267,0.18875566666666665
03_30_2024_13:54,675418,0.22513933333333333
03_30_2024_13:55,736696,0.24556533333333333
03_30_2024_13:56,517551,0.172517
03_30_2024_13:57,946594,0.31553133333333333
03_30_2024_13:58,823901,0.27463366666666666
03_30_2024_13:59,909276,0.303092
03_30_2024_14:00,339186,0.113062
03_30_2024_14:01,356727,0.118909
07_18_2024_21:27,350050,0.11668333333333333
07_18_2024_21:28,355216,0.11840533333333333
07_18_2024_21:29,371734,0.12391133333333333
07_18_2024_21:30,379006,0.12633533333333333
07_18_2024_21:31,410524,0.13684133333333334
07_18_2024_21:32,416913,0.138971
07_18_2024_21:33,408784,0.13626133333333335
07_18_2024_21:34,414957,0.138319
07_18_2024_21:35,415454,0.13848466666666667
07_18_2024_21:36,339437,0.11314566666666667
07_18_2024_21:37,361371,0.120457
07_18_2024_21:38,384393,0.128131
07_18_2024_21:39,364588,0.12152933333333334
07_18_2024_21:40,366281,0.12209366666666667
07_18_2024_21:41,365675,0.12189166666666666
07_18_2024_21:42,351628,0.11720933333333333
07_18_2024_21:44,390319,0.13010633333333332
07_18_2024_21:45,402773,0.13425766666666666
07_18_2024_21:46,340131,0.113377
07_18_2024_21:47,413741,0.13791366666666666
07_18_2024_21:48,798617,0.2662056666666667
07_18_2024_21:49,868416,0.289472
07_18_2024_21:50,845153,0.28171766666666664
07_18_2024_21:51,740908,0.24696933333333335
07_18_2024_21:54,947719,0.31590633333333334
07_18_2024_21:55,925332,0.308444
07_18_2024_21:56,841967,0.2806556666666667
07_18_2024_21:57,884143,0.29471433333333336
07_18_2024_21:58,841497,0.280499
07_18_2024_21:59,858483,0.286161
07_18_2024_22:00,881538,0.293846
07_18_2024_22:01,793278,0.264426
07_18_2024_22:02,846770,0.28225666666666666
07_18_2024_22:03,879841,0.2932803333333333
07_18_2024_22:04,922878,0.307626
07_18_2024_22:05,902196,0.300732
07_18_2024_22:06,805387,0.26846233333333336
