Image Name,Total Green Pixels,Percent of Total
03_16_2024_07:00,35880,0.01196
03_16_2024_08:00,32223,0.010741
03_16_2024_09:00,32751,0.010917
03_16_2024_10:00,27629,0.009209666666666666
03_16_2024_12:00,36940,0.012313333333333334
03_16_2024_13:00,43854,0.014618
03_16_2024_14:00,39629,0.013209666666666666
03_16_2024_15:00,29211,0.009737
03_16_2024_16:00,42136,0.014045333333333333
03_16_2024_17:00,559055,0.18635166666666667
03_16_2024_18:00,38877,0.012959
03_16_2024_19:00,39183,0.013061
03_16_2024_20:00,36015,0.012005
03_16_2024_21:00,37454,0.012484666666666666
03_16_2024_22:00,50704,0.016901333333333334
03_16_2024_23:00,66451,0.022150333333333334
03_17_2024_00:00,585256,0.19508533333333333
03_17_2024_01:00,545485,0.18182833333333334
03_17_2024_02:00,538645,0.17954833333333334
03_17_2024_03:00,545277,0.181759
03_17_2024_04:00,530075,0.17669166666666666
03_17_2024_05:00,570836,0.19027866666666668
03_17_2024_06:00,51646,0.017215333333333332
03_17_2024_07:00,47681,0.015893666666666667
03_17_2024_08:00,31512,0.010504
03_17_2024_09:00,35457,0.011819
03_17_2024_10:00,135791,0.04526366666666667
03_17_2024_11:00,39616,0.013205333333333333
03_17_2024_12:00,55034,0.018344666666666665
03_17_2024_13:00,77397,0.025799
03_17_2024_14:00,65676,0.021892
03_17_2024_15:00,63444,0.021148
03_17_2024_16:00,62837,0.020945666666666668
03_17_2024_17:00,77639,0.025879666666666665
03_17_2024_18:00,58079,0.019359666666666667
03_17_2024_19:00,63567,0.021189
03_17_2024_20:00,77264,0.025754666666666665
03_17_2024_21:00,92297,0.030765666666666667
03_17_2024_22:00,64216,0.021405333333333332
03_17_2024_23:00,88859,0.029619666666666666
03_18_2024_00:00,558997,0.18633233333333332
03_18_2024_01:00,539574,0.179858
03_18_2024_02:00,547763,0.18258766666666668
03_18_2024_03:00,567053,0.18901766666666667
03_18_2024_04:00,544649,0.18154966666666666
03_18_2024_05:00,280535,0.09351166666666667
03_18_2024_06:00,83337,0.027779
03_18_2024_07:00,65434,0.021811333333333332
03_18_2024_08:00,85623,0.028541
03_18_2024_09:00,69532,0.023177333333333335
03_18_2024_10:00,74255,0.02475166666666667
03_18_2024_11:00,72821,0.024273666666666666
03_18_2024_12:00,75267,0.025089
03_18_2024_13:00,73563,0.024521
03_18_2024_14:00,79772,0.026590666666666665
03_18_2024_15:00,63677,0.021225666666666667
03_18_2024_16:00,65044,0.021681333333333334
03_18_2024_17:00,81185,0.027061666666666668
03_18_2024_18:00,85673,0.028557666666666665
03_18_2024_19:00,69930,0.02331
03_18_2024_20:00,105802,0.03526733333333333
03_18_2024_21:00,90115,0.030038333333333334
03_18_2024_22:00,102221,0.03407366666666667
03_18_2024_23:00,100187,0.033395666666666664
03_19_2024_00:00,581581,0.19386033333333333
03_19_2024_01:00,564273,0.188091
03_19_2024_02:00,545724,0.181908
03_19_2024_03:00,567361,0.18912033333333333
03_19_2024_04:00,571949,0.19064966666666666
03_19_2024_05:00,548442,0.182814
03_19_2024_06:00,548401,0.18280033333333334
03_19_2024_07:00,568982,0.18966066666666667
03_19_2024_08:00,573108,0.191036
03_19_2024_09:00,125841,0.041947
03_19_2024_10:00,149553,0.049851
03_19_2024_11:00,169572,0.056524
03_19_2024_12:00,161139,0.053713
03_20_2024_14:00,90475,0.030158333333333332
03_20_2024_15:00,82840,0.027613333333333333
03_20_2024_16:00,83665,0.027888333333333334
03_20_2024_17:00,104045,0.034681666666666666
03_20_2024_18:00,113434,0.037811333333333336
03_20_2024_19:00,132314,0.04410466666666667
03_20_2024_20:00,98630,0.032876666666666665
03_20_2024_21:00,126999,0.042333
03_20_2024_22:00,128731,0.042910333333333335
03_20_2024_23:00,110330,0.036776666666666666
03_21_2024_00:00,548113,0.18270433333333333
03_21_2024_01:00,538615,0.17953833333333333
03_21_2024_02:00,531555,0.177185
03_21_2024_03:00,536595,0.178865
03_21_2024_04:00,549076,0.18302533333333335
03_21_2024_05:00,310342,0.10344733333333334
03_21_2024_06:00,122638,0.04087933333333333
03_21_2024_07:00,129669,0.043223
03_21_2024_08:00,117360,0.03912
03_21_2024_09:00,113813,0.03793766666666667
03_21_2024_10:00,124397,0.041465666666666665
03_21_2024_11:00,131338,0.04377933333333334
03_21_2024_12:00,122045,0.040681666666666665
03_21_2024_13:00,127102,0.04236733333333333
03_21_2024_14:00,126562,0.042187333333333334
03_21_2024_15:00,119473,0.03982433333333334
03_21_2024_16:00,112021,0.037340333333333336
03_21_2024_17:00,115714,0.03857133333333333
03_21_2024_18:00,119559,0.039853
03_21_2024_19:00,110397,0.036799
03_21_2024_20:00,136797,0.045599
03_21_2024_21:00,122827,0.04094233333333333
03_21_2024_22:00,147842,0.04928066666666667
03_21_2024_23:00,141652,0.04721733333333333
03_22_2024_00:00,546181,0.18206033333333332
03_22_2024_01:00,547575,0.182525
03_22_2024_02:00,542447,0.18081566666666668
03_22_2024_03:00,555960,0.18532
03_22_2024_04:00,566721,0.188907
03_22_2024_05:00,125254,0.041751333333333335
03_22_2024_06:00,116156,0.038718666666666665
03_22_2024_07:00,123264,0.041088
03_22_2024_08:00,128865,0.042955
03_22_2024_09:00,133912,0.044637333333333334
03_22_2024_10:00,143505,0.047835
03_22_2024_11:00,159447,0.053149
03_22_2024_12:00,145010,0.04833666666666667
03_22_2024_13:00,163823,0.054607666666666665
03_22_2024_14:00,117585,0.039195
03_22_2024_15:00,121450,0.040483333333333336
03_22_2024_15:24,124286,0.04142866666666667
03_22_2024_16:00,208131,0.069377
03_22_2024_17:00,208290,0.06943
03_22_2024_18:00,238034,0.07934466666666666
03_22_2024_19:00,216800,0.07226666666666667
03_22_2024_20:00,211191,0.070397
03_22_2024_21:00,200033,0.06667766666666666
03_22_2024_22:00,212026,0.07067533333333334
03_22_2024_23:00,204754,0.06825133333333333
03_23_2024_00:00,550259,0.18341966666666668
03_23_2024_01:00,528349,0.17611633333333335
03_23_2024_02:00,531227,0.17707566666666666
03_23_2024_03:00,534682,0.17822733333333332
03_23_2024_04:00,535167,0.178389
03_23_2024_05:00,292427,0.09747566666666667
03_23_2024_06:00,202819,0.06760633333333334
03_23_2024_07:00,223833,0.074611
03_23_2024_08:00,235933,0.07864433333333333
03_23_2024_09:00,227958,0.075986
03_23_2024_10:00,249402,0.083134
03_23_2024_11:00,227778,0.075926
03_23_2024_12:00,236862,0.078954
03_23_2024_13:00,204115,0.06803833333333334
03_23_2024_14:00,224042,0.07468066666666667
03_23_2024_15:00,238188,0.079396
03_23_2024_16:00,230010,0.07667
03_23_2024_17:00,217163,0.07238766666666667
03_23_2024_18:00,260635,0.08687833333333334
03_23_2024_19:00,246463,0.08215433333333333
03_23_2024_20:00,247908,0.082636
03_23_2024_21:00,222740,0.07424666666666667
03_23_2024_22:00,226781,0.07559366666666667
03_23_2024_23:00,244799,0.08159966666666667
03_24_2024_00:00,253969,0.08465633333333333
03_24_2024_01:00,226819,0.07560633333333333
03_24_2024_02:00,246104,0.08203466666666667
03_24_2024_03:00,239918,0.07997266666666666
03_24_2024_04:00,280451,0.09348366666666667
03_24_2024_05:00,226826,0.07560866666666667
03_24_2024_06:00,239523,0.079841
03_24_2024_07:00,254558,0.08485266666666667
03_24_2024_08:00,255972,0.085324
03_24_2024_09:00,273619,0.09120633333333333
03_24_2024_10:00,244032,0.081344
03_24_2024_11:00,232638,0.077546
03_24_2024_12:00,219870,0.07329
03_24_2024_13:00,234642,0.078214
03_24_2024_14:00,237537,0.079179
03_24_2024_15:00,277880,0.09262666666666666
03_24_2024_16:00,254270,0.08475666666666666
03_24_2024_17:00,274270,0.09142333333333333
03_24_2024_18:00,247532,0.08251066666666666
03_24_2024_19:00,257315,0.08577166666666666
03_24_2024_20:00,282872,0.09429066666666666
03_24_2024_21:00,279918,0.093306
03_24_2024_22:00,282112,0.09403733333333333
03_24_2024_23:00,234036,0.078012
03_25_2024_00:00,538912,0.17963733333333334
03_25_2024_01:00,521252,0.17375066666666666
03_25_2024_02:00,541425,0.180475
03_25_2024_03:00,517061,0.17235366666666666
03_25_2024_04:00,494898,0.164966
03_25_2024_05:00,349294,0.11643133333333333
03_25_2024_06:00,294608,0.09820266666666666
03_25_2024_07:00,332043,0.110681
03_25_2024_08:00,257339,0.08577966666666667
03_25_2024_09:00,296558,0.09885266666666667
03_25_2024_10:00,271732,0.09057733333333333
03_25_2024_11:00,314574,0.104858
03_25_2024_12:00,266906,0.08896866666666667
03_25_2024_13:00,274821,0.091607
03_25_2024_14:00,266259,0.088753
03_25_2024_15:00,286410,0.09547
03_25_2024_16:00,269104,0.08970133333333333
03_25_2024_17:00,258303,0.086101
03_25_2024_18:00,263624,0.08787466666666667
03_25_2024_19:00,250333,0.08344433333333333
03_25_2024_20:00,250406,0.08346866666666666
03_25_2024_21:00,273177,0.091059
03_25_2024_22:00,273490,0.09116333333333333
03_25_2024_23:00,544082,0.18136066666666667
03_26_2024_00:00,539342,0.17978066666666667
03_26_2024_01:00,528100,0.17603333333333335
03_26_2024_02:00,527181,0.175727
03_26_2024_03:00,503737,0.16791233333333333
03_26_2024_04:00,527594,0.17586466666666667
03_26_2024_05:00,364268,0.12142266666666666
03_26_2024_06:00,275495,0.09183166666666667
03_26_2024_07:00,327975,0.109325
03_26_2024_08:00,296984,0.09899466666666666
03_26_2024_09:00,359557,0.11985233333333334
03_26_2024_10:00,296022,0.098674
03_26_2024_11:00,316174,0.10539133333333334
03_26_2024_12:00,331953,0.110651
03_26_2024_13:00,314149,0.10471633333333333
03_26_2024_14:00,300337,0.10011233333333333
03_26_2024_15:00,592337,0.19744566666666666
03_26_2024_16:00,308155,0.10271833333333333
03_26_2024_17:00,372137,0.12404566666666667
03_26_2024_18:00,521907,0.173969
03_26_2024_19:00,541112,0.18037066666666668
03_26_2024_20:00,537813,0.179271
03_26_2024_21:00,506659,0.16888633333333333
03_26_2024_22:00,534391,0.17813033333333333
03_26_2024_23:00,522576,0.174192
03_27_2024_00:00,569391,0.189797
03_27_2024_01:00,547262,0.18242066666666668
03_27_2024_02:00,518972,0.17299066666666665
03_27_2024_03:00,529019,0.17633966666666667
03_27_2024_04:00,531360,0.17712
03_27_2024_05:00,539309,0.17976966666666666
03_27_2024_06:00,531636,0.177212
03_27_2024_07:00,488845,0.16294833333333333
03_27_2024_08:00,433044,0.144348
03_27_2024_09:00,451609,0.15053633333333333
03_27_2024_10:00,418636,0.13954533333333333
03_27_2024_11:00,420794,0.14026466666666668
03_27_2024_12:00,434465,0.14482166666666665
03_27_2024_13:00,428277,0.142759
03_27_2024_14:00,449082,0.149694
03_27_2024_15:00,471322,0.15710733333333332
03_27_2024_16:00,445442,0.14848066666666668
03_27_2024_17:00,506889,0.168963
03_27_2024_18:00,541606,0.18053533333333333
03_27_2024_19:00,509961,0.169987
03_27_2024_20:00,507237,0.169079
03_27_2024_21:00,437991,0.145997
03_27_2024_22:00,633341,0.21111366666666667
03_27_2024_23:00,557621,0.18587366666666666
03_28_2024_00:00,554293,0.18476433333333334
03_28_2024_01:00,540272,0.18009066666666668
03_28_2024_02:00,526260,0.17542
03_28_2024_03:00,545232,0.181744
03_28_2024_04:00,583229,0.19440966666666668
03_28_2024_05:00,510660,0.17022
03_28_2024_06:00,596946,0.198982
03_28_2024_07:00,483656,0.16121866666666668
03_28_2024_08:00,528566,0.17618866666666666
03_28_2024_09:00,470288,0.15676266666666666
03_28_2024_10:00,530511,0.176837
03_28_2024_11:00,578306,0.19276866666666667
03_28_2024_12:00,448956,0.149652
03_28_2024_13:00,533383,0.17779433333333333
03_28_2024_14:00,470217,0.156739
03_28_2024_15:00,491882,0.16396066666666667
03_28_2024_16:00,594347,0.19811566666666666
03_28_2024_17:00,577305,0.192435
03_28_2024_18:00,573921,0.191307
03_28_2024_19:00,575803,0.19193433333333335
03_28_2024_20:00,528517,0.17617233333333332
03_28_2024_21:00,605274,0.201758
03_28_2024_22:00,740883,0.246961
03_28_2024_23:00,543589,0.18119633333333332
03_29_2024_00:00,549721,0.18324033333333334
03_29_2024_01:00,548481,0.182827
03_29_2024_02:00,517130,0.17237666666666668
03_29_2024_03:00,554044,0.18468133333333334
03_29_2024_04:00,638197,0.21273233333333333
03_29_2024_05:00,598739,0.19957966666666666
03_29_2024_06:00,671244,0.223748
03_29_2024_07:00,584477,0.19482566666666667
03_29_2024_08:00,588114,0.196038
03_29_2024_09:00,595085,0.19836166666666666
03_29_2024_10:00,624534,0.208178
03_29_2024_11:00,765410,0.2551366666666667
03_29_2024_12:00,751115,0.25037166666666666
03_29_2024_13:00,690284,0.23009466666666667
03_29_2024_14:00,617828,0.20594266666666666
03_29_2024_15:00,612988,0.20432933333333334
03_29_2024_16:00,679804,0.22660133333333332
03_29_2024_17:00,681170,0.22705666666666666
03_29_2024_18:00,731329,0.24377633333333334
03_29_2024_19:00,728373,0.242791
03_29_2024_20:00,657663,0.219221
03_29_2024_21:00,753494,0.25116466666666665
03_29_2024_22:00,906028,0.30200933333333335
03_29_2024_23:00,556709,0.18556966666666666
03_30_2024_00:00,524291,0.17476366666666668
03_30_2024_01:00,529799,0.17659966666666665
03_30_2024_02:00,555984,0.185328
03_30_2024_03:00,572163,0.190721
03_30_2024_04:00,839404,0.27980133333333335
03_30_2024_05:00,861144,0.287048
03_30_2024_06:00,730008,0.243336
03_30_2024_07:00,814395,0.271465
03_30_2024_08:00,690528,0.230176
03_30_2024_09:00,735080,0.24502666666666667
03_30_2024_10:00,811731,0.270577
03_30_2024_11:00,672507,0.224169
03_30_2024_12:00,886855,0.2956183333333333
03_30_2024_13:00,818425,0.2728083333333333
03_30_2024_14:00,644572,0.21485733333333334
03_30_2024_15:00,620535,0.206845
03_30_2024_16:00,612250,0.20408333333333334
03_30_2024_17:00,652111,0.21737033333333333
03_30_2024_18:00,651082,0.21702733333333332
03_30_2024_19:00,659245,0.21974833333333332
03_30_2024_20:00,651108,0.217036
03_30_2024_21:00,665834,0.22194466666666668
03_30_2024_22:00,968726,0.3229086666666667
03_30_2024_23:00,551411,0.18380366666666667
03_31_2024_00:00,580947,0.193649
03_31_2024_01:00,559092,0.186364
03_31_2024_02:00,571218,0.190406
03_31_2024_03:00,566351,0.18878366666666666
03_31_2024_04:00,794564,0.2648546666666667
03_31_2024_05:00,816571,0.2721903333333333
03_31_2024_06:00,807122,0.26904066666666665
03_31_2024_07:00,898547,0.2995156666666667
03_31_2024_08:00,871567,0.2905223333333333
03_31_2024_09:00,850687,0.28356233333333336
03_31_2024_10:00,760285,0.2534283333333333
03_31_2024_11:00,771840,0.25728
03_31_2024_12:00,786087,0.262029
03_31_2024_13:00,822067,0.2740223333333333
03_31_2024_14:00,886736,0.29557866666666666
03_31_2024_15:00,907628,0.3025426666666667
03_31_2024_16:00,766404,0.255468
03_31_2024_17:00,751274,0.2504246666666667
03_31_2024_18:00,805121,0.2683736666666667
03_31_2024_19:00,987380,0.3291266666666667
03_31_2024_20:00,808534,0.2695113333333333
03_31_2024_21:00,865387,0.2884623333333333
03_31_2024_22:00,634918,0.21163933333333335
03_31_2024_23:00,573876,0.191292
04_01_2024_00:00,557981,0.18599366666666667
04_01_2024_01:00,549300,0.1831
04_01_2024_02:00,538518,0.179506
04_01_2024_03:00,567498,0.189166
04_01_2024_04:00,850479,0.283493
04_01_2024_05:00,745329,0.248443
04_01_2024_06:00,894001,0.2980003333333333
04_01_2024_07:00,790539,0.263513
04_01_2024_08:00,885272,0.29509066666666667
04_01_2024_09:00,911780,0.3039266666666667
04_01_2024_10:00,875350,0.29178333333333334
04_01_2024_11:00,748156,0.24938533333333332
04_01_2024_12:00,804605,0.26820166666666667
04_01_2024_13:00,967070,0.3223566666666667
04_01_2024_14:00,894167,0.29805566666666666
04_01_2024_15:00,774144,0.258048
04_01_2024_16:00,743930,0.24797666666666668
04_01_2024_17:00,827481,0.275827
04_01_2024_18:00,774233,0.25807766666666665
04_01_2024_19:00,849965,0.2833216666666667
04_01_2024_20:00,853960,0.2846533333333333
04_01_2024_21:00,827784,0.275928
04_01_2024_22:00,1084767,0.361589
04_01_2024_23:00,545997,0.181999
04_02_2024_00:00,538449,0.179483
04_02_2024_01:00,566130,0.18871
04_02_2024_02:00,527609,0.17586966666666667
04_02_2024_03:00,558441,0.186147
04_02_2024_04:00,543515,0.18117166666666668
04_02_2024_05:00,911569,0.30385633333333334
04_02_2024_06:00,870492,0.290164
04_02_2024_07:00,844925,0.2816416666666667
04_02_2024_08:00,889332,0.296444
04_02_2024_09:00,918467,0.30615566666666666
04_02_2024_10:00,883992,0.294664
04_02_2024_11:00,907709,0.3025696666666667
04_02_2024_12:00,894827,0.29827566666666666
04_02_2024_13:00,900278,0.3000926666666667
04_02_2024_14:00,893648,0.2978826666666667
04_02_2024_15:00,915250,0.3050833333333333
04_02_2024_16:00,899496,0.299832
04_02_2024_17:00,905145,0.301715
04_02_2024_18:00,878270,0.29275666666666667
04_02_2024_19:00,875283,0.291761
04_02_2024_20:00,926316,0.308772
04_02_2024_21:00,911108,0.3037026666666667
04_02_2024_22:00,1118184,0.372728
04_02_2024_23:00,561523,0.18717433333333333
04_03_2024_00:00,548952,0.182984
04_03_2024_01:00,539231,0.17974366666666666
04_03_2024_02:00,558122,0.18604066666666666
04_03_2024_03:00,545830,0.18194333333333335
04_03_2024_04:00,912239,0.3040796666666667
04_03_2024_05:00,947478,0.315826
04_03_2024_06:00,944378,0.31479266666666667
04_03_2024_07:00,974260,0.32475333333333334
04_03_2024_08:00,975126,0.325042
04_03_2024_09:00,982342,0.3274473333333333
04_03_2024_12:00,1009497,0.336499
04_04_2024_12:00,1155149,0.3850496666666667
04_05_2024_12:00,2358995,0.7863316666666667
05_08_2024_12:00,13065,0.004355
05_09_2024_12:00,9594,0.003198
